hotel,country,total_reservas,cancelamentos,taxa_bruta,log_reservas,estimativa_bayesiana,erro_padrao,shrinkage,ic_inferior,ic_superior
City Hotel,PYF,1,0,0,0,0.2439825842088595,0.11420677911254053,0.2439825842088595,0.020137297148280053,0.4678278712694389
City Hotel,QAT,14,11,0.7857142857142857,1.146128035678238,0.5324014081616929,0.09577150386379953,0.2533128775525928,0.3446892605886458,0.72011355573474
City Hotel,ROU,323,102,0.3157894736842105,2.509202522331103,0.3137079291688051,0.025307889658431573,0.0020815445154054313,0.2641044654382792,0.36331139289933095
City Hotel,RUS,443,178,0.4018058690744921,2.6464037262230695,0.3977937168805643,0.022916676343858182,0.004012152193927809,0.3528770312466023,0.4427104025145263
City Hotel,RWA,2,0,0,0.3010299956639812,0.2278694770330245,0.10779501384749474,0.2278694770330245,0.016591249891934806,0.4391477041741142
City Hotel,SAU,47,33,0.7021276595744681,1.6720978579357175,0.6060731028510189,0.06300599246894616,0.0960545567234492,0.4825813576118844,0.7295648480901533
City Hotel,SDN,1,0,0,0,0.2439825842088595,0.11420677911254053,0.2439825842088595,0.020137297148280053,0.4678278712694389
City Hotel,SEN,10,7,0.7,1,0.45157845319257955,0.10344860291288496,0.2484215468074204,0.24881919148332504,0.6543377149018341
City Hotel,SGP,35,16,0.45714285714285713,1.5440680443502757,0.40402190210442857,0.07072225887727686,0.05312095503842856,0.2654062747049659,0.5426375295038912
City Hotel,SLE,1,0,0,0,0.2439825842088595,0.11420677911254053,0.2439825842088595,0.020137297148280053,0.4678278712694389
City Hotel,SLV,2,0,0,0.3010299956639812,0.2278694770330245,0.10779501384749474,0.2278694770330245,0.016591249891934806,0.4391477041741142
City Hotel,SRB,94,3,0.031914893617021274,1.9731278535996986,0.060204008972805804,0.022979992766493647,0.02828911535578453,0.015163223150478258,0.10524479479513335
City Hotel,STP,2,0,0,0.3010299956639812,0.2278694770330245,0.10779501384749474,0.2278694770330245,0.016591249891934806,0.4391477041741142
City Hotel,SUR,1,0,0,0,0.2439825842088595,0.11420677911254053,0.2439825842088595,0.020137297148280053,0.4678278712694389
City Hotel,SVK,53,21,0.39622641509433965,1.724275869600789,0.3696655372717185,0.05935424317744525,0.02656087782262112,0.2533312206439258,0.4859998538995112
City Hotel,SVN,46,14,0.30434782608695654,1.662757831681574,0.29505948926316167,0.05930393336535203,0.009288336823794874,0.1788237798670717,0.4112951986592516
City Hotel,SWE,720,154,0.21388888888888888,2.8573324964312685,0.21476112120889104,0.015166477208298338,8.722323200021642e-4,0.1850348258806263,0.24448741653715578
City Hotel,SYC,1,0,0,0,0.2439825842088595,0.11420677911254053,0.2439825842088595,0.020137297148280053,0.4678278712694389
